name,description,key_skills,experience_id,premium,employer_name,salary_from,salary_to,salary_gross,salary_currency,area_name,published_at
Программист С++/Qt,100000.0,120000.0,RUR,Барнаул,2022-02-03T18:36:05+0300
Гейм-продюсер,70000.0,150000.0,RUR,Санкт-Петербург,2014-06-03T18:19:37+0400
Программист-разработчик Java/Oracle,35000.0,40000.0,RUR,Тольятти,2021-01-15T10:06:04+0300
PHP-разработчик,32000.0,69000.0,RUR,Самара,2020-10-13T10:28:32+0300
Ведущий специалист в отдел проектов (Программист 1С) / Руководитель проектов (Работа в Краснодаре),27000.0,55000.0,RUR,Верхняя Пышма,2013-06-01T21:49:02+0400
Менеджер логист в офис,30000.0,150000.0,RUR,Краснодар,2019-04-03T16:18:03+0300
Менеджер интернет-магазина,40000.0,45000.0,RUR,Химки,2018-09-22T20:06:48+0300
Менеджер интернет-магазина,12000.0,12000.0,RUR,Ставрополь,2018-02-26T10:03:50+0300
Менеджер по продажам (удаленно),40000.0,75000.0,RUR,Электросталь,2021-05-26T16:06:08+0300
Маркетолог,100000.0,100000.0,RUR,Москва,2018-01-30T12:57:21+0300
C# разработчик,60000.0,120000.0,RUR,Нижний Новгород,2018-09-26T18:08:18+0300
SEO-специалист / Крауд-маркетолог,100000.0,150000.0,RUR,Москва,2019-10-25T14:21:37+0300
Контент-менеджер,33500.0,39500.0,RUR,Москва,2014-07-17T08:23:46+0400
Full Stack Middle+ разработчик,120000.0,140000.0,RUR,Троицк (Московская область),2020-02-13T19:46:58+0300
Специалист по обновлению программного обеспечения,25000.0,35000.0,RUR,Москва,2013-03-13T10:24:26+0400
Front-end разработчик → data engineer,60000.0,120000.0,RUR,Саратов,2019-09-27T11:29:19+0300
Специалист службы поддержки/Контент-менеджер,20000.0,40000.0,RUR,Майкоп,2016-01-14T20:20:03+0300
Консультант по продажам,30000.0,100000.0,RUR,Горячий Ключ,2015-10-23T13:08:19+0300
Копирайтер,35000.0,50000.0,RUR,Москва,2017-02-20T20:10:34+0300
Инженер связи,50000.0,70000.0,RUR,Белгород,2020-08-18T15:29:33+0300
Менеджер по продажам web-сервиса,6000.0,15000.0,RUR,Тула,2012-03-03T21:58:16+0400
Оператор на телефоне RTM,20000.0,60000.0,RUR,Московский,2015-07-07T10:03:20+0300
Системный администратор,25000.0,50000.0,RUR,Волгоград,2018-03-13T10:42:38+0300
QA Engineer,35000.0,100000.0,RUR,Санкт-Петербург,2018-04-11T13:39:13+0300
Ведущий специалист IT,55000.0,60000.0,RUR,Кемерово,2022-03-13T14:44:29+0300
Оператор,22000.0,26000.0,RUR,Пятигорск,2019-02-13T12:03:55+0300
Оператор Call-центра в ночную смену,10000.0,12000.0,RUR,Ростов-на-Дону,2013-05-03T12:58:36+0400
Frontend Developer (JavaScript\Vue),60000.0,100000.0,RUR,Нижний Новгород,2022-06-21T12:37:11+0300
IT-специалист,40000.0,55000.0,RUR,Нижнекамск,2019-03-11T15:56:19+0300
Специалист по сохранению клиентов,24000.0,33000.0,RUR,Москва,2013-07-12T16:48:56+0400
Менеджер по продажам (телемаркетинг),35000.0,65000.0,RUR,Москва,2015-06-23T17:08:25+0300
Главный разработчик JAVA (мобильное приложение),190000.0,207000.0,RUR,Москва,2019-08-05T15:00:42+0300
Специалист по маркетингу и рекламе,70000.0,80000.0,RUR,Москва,2020-02-28T18:08:38+0300
Back-end разработчик / специалист,55000.0,75000.0,RUR,Москва,2014-03-30T08:29:46+0400
Инженер Service Desk,30000.0,35000.0,RUR,Санкт-Петербург,2008-07-28T11:05:46+0400
"Программист PHP, html, bitrix",85000.0,85000.0,RUR,Новосибирск,2020-03-04T09:34:09+0300
Инженер сотовых телефонов,20000.0,25000.0,RUR,Барнаул,2015-05-14T06:58:29+0300
Токарь (спецтехника),26000.0,48000.0,RUR,Алнаши,2022-03-22T09:12:04+0300
Агент прямых продаж,20000.0,40000.0,RUR,Апшеронск,2015-05-13T10:49:30+0300
Специалист Help Desk,40000.0,45000.0,RUR,Москва,2016-09-19T10:13:53+0300
Монтажник,62000.0,65000.0,RUR,Тольятти,2020-07-22T16:09:27+0300
Тестировщик,15000.0,25000.0,RUR,Ростов-на-Дону,2013-06-10T14:00:31+0400
Программист 1С,80000.0,100000.0,RUR,Москва,2020-05-06T12:43:54+0300
SAP FI CO analyst,70000.0,90000.0,RUR,Тюмень,2014-06-23T17:11:50+0400
Key Account Manager focused on industries: Logistics & Transportation or Oil&Gas,150000.0,200000.0,RUR,Москва,2010-08-26T14:27:11+0400
Интернет-маркетолог,40000.0,60000.0,RUR,Санкт-Петербург,2020-07-21T11:40:43+0300
Администратор Linux,40000.0,60000.0,RUR,Санкт-Петербург,2009-07-08T13:42:35+0400
SEO-специалист,40000.0,80000.0,RUR,Казань,2017-11-30T00:10:39+0300
IOS разработчик,50000.0,200000.0,RUR,Орел,2018-10-18T14:50:54+0300
Ведущий специалист по программному обеспечению,30000.0,35000.0,RUR,Минеральные Воды,2021-07-01T10:59:33+0300
Менеджер интернет-магазина,40000.0,60000.0,RUR,Москва,2017-08-14T12:06:10+0300
Программист 1С,40000.0,100000.0,RUR,Тюмень,2016-08-05T14:22:11+0300
Тестировщик,40000.0,60000.0,RUR,Екатеринбург,2020-08-18T12:09:06+0300
Junior Frontend разработчик,25000.0,50000.0,RUR,Томск,2020-09-02T12:14:43+0300
Директор по продажам ключевым клиентам (ВидеоМост),120000.0,240000.0,RUR,Москва,2013-05-06T16:44:20+0400
